City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Innisfail,AU,-17.5333,146.0333,78.26,91,100,3.47,light rain
80,Malmesbury,ZA,-33.4608,18.7271,77.0,68,0,6.91,clear sky
81,La Palma,US,33.8464,-118.0467,51.8,100,75,1.41,fog
82,Jalu,LY,29.0331,21.5482,69.08,32,0,5.53,clear sky
83,Mataura,NZ,-46.1927,168.8643,55.99,78,100,10.0,overcast clouds
84,Rusape,ZW,-18.5278,32.1284,76.78,67,100,2.86,moderate rain
85,Kruisfontein,ZA,-34.0033,24.7314,80.01,71,8,4.0,clear sky
86,Sitka,US,57.0531,-135.33,39.2,87,75,12.66,light rain
87,Airai,TL,-8.9266,125.4092,68.18,100,100,1.28,heavy intensity rain
88,Longyearbyen,SJ,78.2186,15.6401,21.2,68,75,4.61,broken clouds
89,Bethel,US,41.3712,-73.414,23.0,63,1,8.05,clear sky
90,Korla,CN,41.7597,86.1469,21.78,84,31,6.6,scattered clouds
91,Tuatapere,NZ,-46.1333,167.6833,55.99,78,100,10.0,light rain
92,Paamiut,GL,61.994,-49.6678,32.41,85,97,4.05,overcast clouds
93,Ierapetra,GR,35.01,25.7353,63.0,88,58,11.21,broken clouds
94,Omboue,GA,-1.5746,9.2618,79.21,86,72,4.23,broken clouds
95,Lebu,CL,-37.6167,-73.65,51.78,84,37,8.57,scattered clouds
96,Kavaratti,IN,10.5669,72.642,82.89,73,100,7.72,overcast clouds
97,Kahului,US,20.8947,-156.47,73.4,73,75,5.75,broken clouds
98,Lorengau,PG,-2.0226,147.2712,84.04,65,100,4.76,overcast clouds
99,Byron Bay,AU,-28.65,153.6167,75.2,60,75,12.66,broken clouds
100,Port Alfred,ZA,-33.5906,26.891,77.0,85,8,9.1,clear sky
101,Santa Rosa,PH,14.3122,121.1114,82.99,65,75,8.05,broken clouds
102,Ankara,TR,39.9199,32.8543,48.0,93,75,1.14,broken clouds
103,Alofi,NU,-19.0595,-169.9187,78.8,89,1,9.22,clear sky
104,Khatanga,RU,71.9667,102.5,-19.89,88,85,5.91,overcast clouds
105,Ambulu,ID,-8.345,113.6058,81.23,82,100,4.61,overcast clouds
106,Sampit,ID,-2.5333,112.95,82.81,86,100,4.32,moderate rain
107,Bengkulu,ID,-3.8004,102.2655,83.34,66,99,10.07,moderate rain
108,Broken Hill,AU,-31.95,141.4333,91.4,14,0,19.57,clear sky
