City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Zhigansk,66.7697,123.3711,-33.27,82,100,13,RU,2021-01-07 20:02:34
1,Zhigansk,66.7697,123.3711,-33.27,82,100,13,RU,2021-01-07 20:02:50
2,Zhigansk,66.7697,123.3711,-33.27,82,100,13,RU,2021-01-07 20:02:34
3,Zhigansk,66.7697,123.3711,-33.27,82,100,13,RU,2021-01-07 20:12:55
