City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Tubuala,PA,75.2,scattered clouds,9.5167,-79.0333,Río Nabagana
454,Kabarnet,KE,75.94,broken clouds,0.4919,35.743,Valley-Inn Hotel
456,Mongomo,GQ,74.32,broken clouds,1.6274,11.3135,Mbon Ekua
457,Upington,ZA,86.0,clear sky,-28.4478,21.2561,River Place Manor
458,Ambilobe,MG,88.47,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
462,Souillac,MU,84.2,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
464,Ambovombe,MG,89.85,clear sky,-25.1667,46.0833,RELAHARA
466,Santa Marta,CO,82.99,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
474,Kariba,ZW,80.44,moderate rain,-16.5167,28.8,Caribbea Bay Hotel
476,Mancio Lima,BR,70.0,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
478,Registro,BR,71.89,overcast clouds,-24.4875,-47.8436,Régis Hotel
494,Gladstone,AU,75.2,light rain,-23.85,151.25,Highpoint International
497,Ketou,BJ,80.94,overcast clouds,7.3633,2.5998,Residences Celine Hotel Ketou
508,Trairi,BR,79.03,broken clouds,-3.2778,-39.2689,janelas do mar
521,Jaisalmer,IN,70.93,clear sky,26.9147,70.9181,Hotel Fifu
528,Kankon,IN,87.8,broken clouds,15.0167,74.0167,Palolem Beach Resort
534,Kupang,ID,80.6,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
536,Parkes,AU,84.0,clear sky,-33.1333,148.1833,Station Motel
543,Nacala,MZ,84.2,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
546,Jizan,SA,80.6,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
547,Road Town,VG,75.99,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
552,Kant,IN,81.19,clear sky,27.8,79.8,Haseeb Khan shatreng
555,Akyab,MM,80.8,broken clouds,20.15,92.9,Hotel Memory
557,Bathurst,AU,77.0,clear sky,-33.4166,149.5806,Bathurst Motor Inn
558,Montecristi,EC,77.0,light rain,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
560,Amapa,BR,70.84,broken clouds,1.0,-52.0,
564,Bull Savanna,JM,70.95,broken clouds,17.8868,-77.5902,Big Red's
566,Odweyne,SO,74.41,clear sky,9.4092,45.06399999999999,Eng Hiirey House
567,Kuliyapitiya,LK,80.6,moderate rain,7.4688,80.0401,Rest House
568,Eydhafushi,MV,82.2,light rain,5.1033,73.0708,Soneva Fushi
570,Baleno,PH,76.84,overcast clouds,12.4739,123.4982,
574,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
575,Ati,TD,80.62,clear sky,13.2154,18.3353,
577,Sinnamary,GF,77.41,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
578,Wajir,KE,85.46,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
580,Tabou,CI,79.47,clear sky,4.423,-7.3528,hotêl doufoulougou
582,Weligama,LK,80.58,moderate rain,5.9667,80.4167,Weligama Bay Resort
585,Canberra,AU,81.0,clear sky,-35.2835,149.1281,Novotel Canberra
586,Bela Vista,BR,73.58,overcast clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
587,Chiang Klang,TH,82.4,clear sky,19.2938,100.8617,Sangthongresort
591,Axim,GH,80.73,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
595,Grand-Santi,GF,70.27,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
598,Vazante,BR,70.18,light rain,-17.9869,-46.9078,Hotel Pousada e Restaurante
599,Bara,NG,82.8,overcast clouds,10.3744,10.7288,
600,Mareeba,AU,78.01,light rain,-17.0,145.4333,Trinity Plains Tourist Park
602,Gewane,ET,77.16,broken clouds,10.1664,40.6453,
603,Kollam,IN,87.8,broken clouds,8.8833,76.6,The Raviz Ashtamudi
605,Noumea,NC,84.0,heavy intensity rain,-22.2763,166.4572,Hôtel Le Lagon
610,Ipixuna,BR,75.2,clear sky,-1.7625,-48.8043,Casa da Oscarina
612,Tandalti,SD,84.63,clear sky,13.0167,31.8667,منزل : الهادي محمد مساعد
614,Araouane,ML,76.03,clear sky,18.9048,-3.5265,
615,Boende,CD,80.91,broken clouds,-0.2167,20.8667,
616,Inhambane,MZ,86.0,scattered clouds,-23.865,35.3833,Oceano
618,Sijunjung,ID,76.06,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
621,Pangkalanbuun,ID,80.56,light rain,-2.6833,111.6167,Grand Kecubung Hotel
622,Micheweni,TZ,82.81,scattered clouds,-4.9667,39.8333,
624,Salima,MW,85.17,light rain,-13.7804,34.4587,YAMIKANI LODGE
626,Cap Malheureux,MU,84.99,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
627,Formosa,AR,75.2,clear sky,-26.1775,-58.1781,Asterión Hotel
631,Sorong,ID,83.88,overcast clouds,-0.8833,131.25,The Waigo Hotel
646,Charlestown,AU,73.0,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
650,Banda Aceh,ID,82.89,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
652,Nelson Bay,AU,73.4,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
654,Tura,IN,77.9,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
655,Mogadishu,SO,81.72,clear sky,2.0371,45.3438,Hotel Juba
656,Sungaipenuh,ID,71.89,moderate rain,-2.0833,101.3833,Hotel Jaya Wisata 2
659,Barra Patuca,HN,74.62,overcast clouds,15.8,-84.2833,
661,Sao Sebastiao,BR,75.04,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
